student_id,first_name,last_name,dob,phone,state,region,beng,eng,math,phy,chem,comp
1001,Navya,Bhalla,2006-05-16,4332181960,Arunachal Pradesh,North,37,39,74,87,13,81
1002,Kiaan,Sehgal,2007-01-14,8637940265,Ladakh,East,37,53,23,21,58,22
1003,Taimur,Vaidya,2006-09-17,4078161849,Mizoram,North East,34,18,15,94,39,47
1004,Dhanush,Varma,2006-08-05,+916475255341,Gujarat,North East,41,30,69,58,44,91
1005,Prisha,Mallick,2006-07-31,5030564139,Maharashtra,East,93,73,60,92,68,28
1006,Prerak,Boase,2006-08-10,8849696532,Tripura,West,21,16,24,29,90,30
1007,Vritika,Sangha,2006-10-17,1669784801,Uttarakhand,South,92,53,24,47,65,30
1008,Amani,Agarwal,2007-02-11,4828148932,Mizoram,East,79,77,10,86,51,72
1009,Advik,Bhalla,2007-05-02,04303911718,Delhi,East,94,70,80,31,43,77
1010,Mahika,Kakar,2006-07-28,3465787133,Chandigarh (UT),South,12,85,80,39,85,38
1011,Aarush,Banik,2007-02-05,0310518347,Jammu and Kashmir,North East,26,83,83,70,41,70
1012,Zara,Jani,2006-07-19,+911656670106,Manipur,North,41,34,34,78,67,27
1013,Aarna,Chand,2006-08-23,03178108013,Gujarat,West,72,71,37,61,17,31
1014,Vaibhav,Agarwal,2006-10-05,07468723430,Uttarakhand,North,50,17,16,84,71,74
1015,Eva,Brar,2006-05-29,1219136193,Assam,North East,20,63,94,84,82,76
1016,Saksham,De,2006-07-25,5346247510,Sikkim,North East,82,22,19,78,37,74
1017,Prerak,Bhatti,2007-05-04,01354278498,Andhra Pradesh,South East,80,48,94,23,27,43
1018,Farhan,Walia,2006-06-17,8244935348,Telangana,South,16,21,91,64,45,15
1019,Aarav,Ganesan,2007-03-02,+914278680112,Uttarakhand,North,57,84,80,28,65,26
1020,Arnav,Dube,2006-09-25,+915331586923,Gujarat,East,62,13,32,52,62,95
1021,Sara,Tak,2006-08-11,02160733754,Jharkhand,East,13,94,34,61,52,45
1022,Darshit,Som,2006-08-23,08685014294,Assam,North,86,65,54,50,65,87
